athlete_display_name,team_name,game_date,minutes,points,rebounds,assists,steals,blocks,turnovers,field_goals_made,field_goals_attempted,three_point_field_goals_made,three_point_field_goals_attempted,free_throws_made,free_throws_attempted,team_winner,home_away,fg_pct,three_pt_pct,ft_pct
Satou Sabally,Mercury,2025-09-28,36.0,21.0,6,3,0,0,2,6,11,3,7,6.0,9,True,home,0.5454545454545454,0.42857142857142855,0.6666666666666666
Kahleah Copper,Mercury,2025-09-28,32.0,13.0,4,0,0,0,3,3,12,2,6,5.0,5,True,home,0.25,0.3333333333333333,1.0
Monique Akoa Makani,Mercury,2025-09-28,21.0,3.0,1,2,0,0,0,1,5,1,2,0.0,0,True,home,0.2,0.5,0.931159420289855
DeWanna Bonner,Mercury,2025-09-28,26.0,13.0,6,1,1,2,0,4,7,3,4,2.0,2,True,home,0.5714285714285714,0.75,1.0
Kathryn Westbeld,Mercury,2025-09-28,10.0,3.0,4,0,0,0,0,1,3,1,3,0.0,0,True,home,0.3333333333333333,0.3333333333333333,0.7645833333333334
Sami Whitcomb,Mercury,2025-09-28,27.0,6.0,4,3,0,0,0,2,8,1,6,1.0,2,True,home,0.25,0.16666666666666666,0.5
Kalani Brown,Mercury,2025-09-28,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,True,home,0.5784438775510203,0.42857142857142855,0.7627450980392156
Kitija Laksa,Mercury,2025-09-28,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,True,home,0.2826033443680502,0.2387085137085137,0.7515151515151515
Kiana Williams,Mercury,2025-09-28,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,True,home,0.40410052910052907,0.25272108843537416,0.5
Lexi Held,Mercury,2025-09-28,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,True,home,0.4086607836607836,0.33870370370370373,0.8214285714285714
NaLyssa Smith,Aces,2025-09-28,22.0,8.0,2,0,0,1,3,4,5,0,0,0.0,0,False,away,0.8,0.24,0.5490514905149052
Kierstan Bell,Aces,2025-09-28,6.0,3.0,0,0,0,0,0,1,1,1,1,0.0,0,False,away,1.0,1.0,0.75
A'ja Wilson,Aces,2025-09-28,36.0,31.0,9,3,4,3,3,14,24,0,0,3.0,6,False,away,0.5833333333333334,0.4203703703703702,0.5
Chelsea Gray,Aces,2025-09-28,38.0,12.0,2,9,4,0,5,4,13,3,7,1.0,1,False,away,0.3076923076923077,0.42857142857142855,1.0
Jackie Young,Aces,2025-09-28,38.0,18.0,5,9,0,0,2,6,10,2,4,4.0,4,False,away,0.6,0.5,1.0
Kiah Stokes,Aces,2025-09-28,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,False,away,0.3108843537414966,0.14705882352941177,0.625
Megan Gustafson,Aces,2025-09-28,15.0,2.0,1,0,0,0,1,1,2,0,1,0.0,0,False,away,0.5,0.0,0.5166666666666667
Jewell Loyd,Aces,2025-09-28,32.0,6.0,3,0,1,1,1,2,8,2,7,0.0,0,False,away,0.25,0.2857142857142857,0.8172222222222222
Dana Evans,Aces,2025-09-28,13.0,3.0,0,1,0,0,0,1,4,1,3,0.0,0,False,away,0.25,0.3333333333333333,0.8
Cheyenne Parker-Tyus,Aces,2025-09-28,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,False,away,0.3714285714285714,0.4,0.8125
Aaliyah Nye,Aces,2025-09-28,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,False,away,0.298234126984127,0.24211711711711714,0.84375
Natasha Howard,Fever,2025-09-28,26.0,7.0,3,1,0,0,3,2,6,0,1,3.0,4,True,home,0.3333333333333333,0.0,0.75
Aliyah Boston,Fever,2025-09-28,34.0,24.0,14,5,2,2,2,7,15,0,0,10.0,13,True,home,0.4666666666666667,0.20161290322580644,0.7692307692307693
Odyssey Sims,Fever,2025-09-28,25.0,18.0,1,2,1,0,2,6,9,1,1,5.0,6,True,home,0.6666666666666666,1.0,0.8333333333333334
Kelsey Mitchell,Fever,2025-09-28,39.0,25.0,3,4,0,0,3,9,20,2,5,5.0,6,True,home,0.45,0.4,0.8333333333333334
Lexie Hull,Fever,2025-09-28,38.0,7.0,7,1,4,1,2,2,12,1,7,2.0,4,True,home,0.16666666666666666,0.14285714285714285,0.5
Brianna Turner,Fever,2025-09-28,9.0,2.0,1,0,1,0,0,1,1,0,0,0.0,0,True,home,1.0,0.0,0.5833333333333334
Makayla Timpson,Fever,2025-09-28,11.0,0.0,2,0,1,0,1,0,0,0,0,0.0,0,True,home,0.5819444444444445,0.0,0.6666666666666666
Shey Peddy,Fever,2025-09-28,16.0,7.0,3,1,2,0,1,3,4,0,1,1.0,1,True,home,0.75,0.0,1.0
